20100104,94669,98338,94302,97971,91056
20100105,96870,96870,94669,94669,59852
20100106,94669,94669,91733,92100,42059
20100107,92100,92834,88798,92834,58853
20100108,92100,93935,91733,92100,15812
20100111,94302,94302,89165,89165,39335
20100112,88431,89532,86229,89165,45649
20100113,88431,88431,84761,86229,57521
20100114,86229,86596,82560,85128,109443
20100115,84028,85128,82560,84761,70239
20100118,84761,84761,82193,82927,68081
20100119,82560,87697,82560,85862,54853
20100120,85495,86596,82927,84028,42008
20100121,84761,85862,82927,84761,15976
20100122,84761,85862,81092,81459,54765
20100125,79991,82193,78157,79991,86805
20100126,80358,82193,78524,79991,42036
20100127,79991,86229,78891,86229,76581
20100128,86229,86596,83661,84761,35018
20100129,85495,85495,81092,85128,49800
20100201,85495,88798,84395,85495,43229
20100202,84761,86596,84028,85128,30581
20100203,85128,85862,83661,84028,30989
20100204,83661,84395,82193,82560,27695
20100205,84028,85128,80725,82560,57373
20100208,83661,86963,82927,85495,57435
20100209,85128,87697,84395,86963,31227
20100210,86229,86596,83661,84395,27244
20100211,85128,85495,83661,84395,36074
20100212,83294,84395,81826,83661,49604
20100216,84395,84395,82193,82927,37890
20100217,81826,82560,78524,78524,201366
20100218,79257,79991,78891,79257,36111
20100219,79257,80358,78157,78524,47963
20100222,78524,80358,78524,78891,55489
20100223,79991,79991,77790,78157,47577
20100224,78157,81459,77790,80725,66376
20100225,80358,81092,77423,78524,63310
20100226,78157,79991,78157,79991,30089
20100302,79257,80358,78891,79991,22874
20100303,80358,81459,79624,80725,24557
20100304,80358,81092,79624,81092,11944
20100305,80358,82193,80358,81459,31433
20100308,81459,81826,79257,79624,60661
20100309,79257,79991,77423,77790,62392
20100310,77790,78524,77423,77423,55591
20100311,77790,79257,77790,78524,71661
20100312,79624,81459,78891,81459,56390
20100315,81459,82193,78891,79624,24954
20100316,79624,80358,78891,79991,28789
20100317,80725,82193,80725,81459,43930
20100318,81092,81459,79991,80358,15279
20100319,80358,81826,79991,80725,34102
20100322,80725,81092,78524,78891,40368
20100323,78891,82927,78891,80725,68989
20100324,81092,81826,79257,79991,16655
20100325,79991,80358,78524,79257,40360
20100326,79257,79991,78891,79624,35429
20100329,79257,86229,78891,84395,209163
20100330,85495,85495,82927,84761,34095
20100331,84395,85495,82927,84761,38175
20100401,85495,86229,83294,83294,57016
20100402,83294,83294,80725,82560,72744
20100405,81826,82927,80725,81092,41800
20100406,81459,81826,79991,80725,59855
20100407,80725,83294,80725,80725,45967
