20100104,12478,12577,12181,12404,1328269
20100105,12379,12478,11686,11859,3059423
20100106,11884,11983,11537,11785,2664930
20100107,11785,11785,11339,11488,2710125
20100108,11438,11587,11265,11587,1420396
20100111,11488,11686,11438,11463,1798113
20100112,11537,11636,11290,11438,1128932
20100113,11290,11339,10918,10968,2062349
20100114,11017,11240,10844,10918,1654332
20100115,10943,11017,10671,10894,2734621
20100118,10943,10943,10473,10745,2603727
20100119,10894,10993,10696,10894,2303630
20100120,10968,11240,10795,11042,2799184
20100121,10844,10844,10448,10547,2406084
20100122,10374,10398,10151,10176,3458634
20100125,10200,10745,10176,10597,2197675
20100126,10720,10745,10101,10200,1768111
20100127,10374,10671,10250,10572,2135812
20100128,10671,10918,10448,10819,1659157
20100129,10646,11141,10621,11042,2892608
20100201,10943,11166,10844,10993,1062660
20100202,11067,11141,10819,10894,1463484
20100203,11117,11117,10894,10993,884082
20100204,10894,11017,10646,10918,1168484
20100205,10696,10795,10448,10745,1028764
20100208,10696,10844,10225,10720,1302966
20100209,10720,10844,10572,10844,698697
20100210,10943,10993,10869,10943,855449
20100211,10993,11092,10844,10844,936945
20100212,10844,10894,10498,10597,1188473
20100216,10621,10745,10448,10720,679583
20100217,10894,11166,10844,11166,1427514
20100218,11191,11216,10993,11067,729683
20100219,10918,11117,10621,10943,1680912
20100222,11092,11339,11067,11315,1276033
20100223,11364,11389,11216,11389,901088
20100224,11339,11612,11265,11537,1149417
20100225,11438,11513,11339,11339,750326
20100226,11265,11686,11265,11488,1151883
20100302,11587,11835,11562,11835,1312494
20100303,11810,11810,11537,11760,756986
20100304,11612,11686,11414,11513,677230
20100305,11513,11810,11513,11810,652618
20100308,11884,11884,11562,11636,772733
20100309,11711,11835,11537,11736,747723
20100310,11785,11810,11686,11810,452497
20100311,11736,11934,11389,11513,1512589
20100312,11562,11661,11389,11537,699458
20100315,11414,11587,11141,11339,925121
20100316,11290,11562,11240,11414,847438
20100317,11414,11587,11339,11537,914220
20100318,11463,11612,11364,11389,464312
20100319,11389,11661,11339,11562,595417
20100322,11562,11636,11339,11414,406324
20100323,11438,11537,11191,11265,958912
20100324,11315,11389,10869,10943,1335840
20100325,10943,11117,10844,11092,879006
20100326,11092,11166,10918,11166,670570
20100329,11191,11315,11042,11092,809351
20100330,11191,11191,10869,10968,1099143
20100331,11042,11042,10597,10621,1585223
20100401,10720,10770,10398,10448,2909606
20100402,10522,10696,10324,10498,3187643
20100405,10522,10720,10498,10671,1569013
20100406,10795,10894,10522,10894,1459902
20100407,10894,11067,10819,10819,1385510
20100408,10869,11067,10770,11017,1070215
20100409,10993,11117,10918,11017,1000789
20100412,10943,10968,10522,10572,1596744
20100413,10547,10597,10250,10349,1890129
20100414,10448,10498,10052,10101,3572008
20100415,10225,10398,10176,10250,2009614
20100416,10275,10299,10002,10027,1710202
20100419,9953,10200,9903,10027,1495325
20100420,10077,10770,9953,10770,3948234
20100421,10720,10894,10547,10720,3279076
20100422,10646,11191,10547,11141,5108118
20100423,11166,11612,11166,11315,3883232
20100426,11438,11636,11414,11612,2296702
20100427,11587,11711,11389,11711,1972069
20100428,11438,11711,11191,11661,2828679
20100429,11587,11760,11438,11736,1223809
20100430,11810,12354,11810,12354,3290163
20100503,12255,12379,11958,12280,1468860
20100504,12330,12429,11859,12082,1488368
20100506,11587,12429,11587,11958,2837111
20100507,11934,12354,11760,12156,2716783
20100510,12305,12701,12280,12577,2220717
20100511,12676,13122,12553,12899,2110939
20100512,12924,13469,12924,12973,1840471
20100513,13147,13692,12825,12825,1806005
20100514,12652,13469,12652,13320,1500171
20100517,13147,13444,12726,12874,2176948
20100518,13122,13122,12206,12231,1694791
20100519,12132,12701,11636,12676,1973799
20100520,12751,13271,12280,12825,1800880
20100524,12676,13097,12553,12577,1013259
20100525,12033,12280,11711,11810,2529483
20100526,12033,13023,11958,12429,1995672
20100527,12379,13122,12107,12751,1896585
